,Bedroom Info,Bathroom Info,Rooms Info,Interior Info,Exterior Info,Property Info,Laundry Info,Fireplace Info,Flooring Info,Kitchen+Dining Info,Living Room Info
12096,['walk'],[],"['pool', 'patio', 'patio', 'deck']",[],[],"['carpet', 'fireplace', 'fireplace', 'fireplace', 'marble']",[],[],[],[],"['washer', 'dryer', 'dryer', 'walk', 'walk']"
12097,[],[],[],[],[],[],[],[],[],[],[]
12098,[],[],['patio'],[],[],"['fireplace', 'carpet', 'wood']",[],[],[],[],[]
12099,[],[],['pool'],[],['wood'],[],[],[],[],[],['bar']
12100,[],[],['patio'],[],[],"['carpet', 'wood', 'granite', 'fireplace', 'wood', 'fireplace']",[],[],[],[],[]
12101,[],[],[],[],[],"['fireplace', 'fireplace', 'wood', 'dryer', 'washer', 'carpet', 'wood']",[],[],[],[],[]
12102,[],[],['patio'],[],[],"['pantry', 'vaulted', 'walk']",[],[],[],['patio'],[]
12103,[],[],"['pool', 'pool']",['wood'],[],['carpet'],[],[],[],[],[]
12104,[],[],[],[],[],"['fireplace', 'fireplace', 'fireplace', 'wood', 'wood', 'carpet']",[],[],[],[],"['deck', 'fireplace']"
12105,[],[],[],[],[],"['fireplace', 'wood', 'ceiling fan', 'carpet', 'laminate']",[],[],[],[],[]
12106,[],[],[],[],[],[],[],[],[],[],[]
12107,[],[],[],[],[],[],[],[],[],['pool'],[]
12108,[],[],"['pool', 'wood']",[],[],"['vaulted', 'bar', 'wood', 'wood', 'bar']",[],[],[],"['walk', 'deck']","['bar', 'walk', 'pantry', 'walk']"
12109,[],['walk'],[],[],[],"['carpet', 'wood']",['pantry'],[],[],[],['fireplace']
12110,[],[],[],[],[],"['fireplace', 'vaulted', 'granite', 'quartz', 'fireplace', 'pantry', 'vaulted', 'walk', 'quartz']",[],[],['fireplace'],[],[]
12111,[],[],['walk'],['fireplace'],[],"['carpet', 'walk']","['island', 'pantry', 'walk']",[],[],[],[]
12114,[],[],[],[],[],"['ceiling fan', 'pantry']",[],"['washer', 'dryer']",[],[],[]
12115,[],[],['deck'],[],[],"['carpet', 'laminate', 'wood', 'pantry', 'walk', 'laminate', 'fireplace', 'fireplace', 'washer', 'dryer']",[],[],[],[],[]
12116,[],"['walk', 'walk']",['pool'],[],[],"['laminate', 'vaulted']","['granite', 'pantry', 'bar']",[],[],[],[]
12117,[],[],[],[],[],['wood'],[],[],[],[],[]
12118,[],['carpet'],[],['wood'],[],['bar'],[],[],[],[],[]
12119,[],[],"['patio', 'wood']",[],[],"['fireplace', 'carpet', 'wood']",[],[],[],[],"['dryer', 'washer', 'dryer', 'washer']"
12120,[],"['ceiling fan', 'walk']","['patio', 'wood']",[],[],"['washer', 'dryer']","['bar', 'granite']",[],"['vaulted', 'ceiling fan']",[],[]
12121,[],[],"['patio', 'spa', 'pool']",[],[],"['ceiling fan', 'dryer', 'carpet', 'wood', 'laminate', 'washer', 'dryer']",[],[],[],[],[]
12122,[],[],"['patio', 'deck']",[],[],"['wood', 'carpet']",[],[],[],[],[]
12123,[],[],"['patio', 'pool', 'patio', 'patio']",[],[],"['island', 'washer', 'dryer', 'walk']",['island'],[],[],[],[]
12124,[],[],[],[],[],"['carpet', 'laminate', 'granite', 'dryer', 'washer', 'washer', 'dryer']",[],[],[],[],[]
12125,[],[],[],[],[],[],[],[],[],[],[]
12126,[],[],[],[],[],[],[],[],[],[],[]
12127,[],[],[],[],[],"['wood', 'ceiling fan', 'dryer', 'washer']",[],[],[],[],[]
12128,[],[],[],['wood'],[],['vaulted'],['island'],[],[],[],[]
12129,[],[],[],[],[],[],[],[],[],[],[]
12130,[],[],[],[],[],[],[],[],[],[],[]
12131,[],[],"['deck', 'wood']","['fireplace', 'wood']",[],['carpet'],[],[],[],[],[]
12132,[],[],['wood'],"['fireplace', 'fireplace', 'wood', 'marble']",[],"['dryer', 'washer', 'carpet', 'walk', 'wood', 'pantry']",[],[],[],[],[]
12133,[],[],['pool'],['fireplace'],[],['island'],[],[],[],[],[]
12134,[],[],"['patio', 'patio']",[],['carpet'],"['dryer', 'washer', 'walk']",[],[],[],[],['office']
12135,[],[],[],['fireplace'],[],"['patio', 'carpet', 'wood', 'ceiling fan']","['granite', 'pantry']",[],[],[],[]
12136,[],"['walk', 'ceiling fan']",['patio'],[],[],"['washer', 'dryer', 'island', 'bar']",[],[],[],[],[]
12137,[],[],['pool'],['fireplace'],[],[],[],[],[],[],[]
12138,[],[],['wood'],[],[],[],[],[],[],[],[]
12139,[],[],[],['fireplace'],[],"['dryer', 'washer', 'carpet']",[],[],[],[],[]
12140,[],[],[],[],[],[],[],[],[],[],[]
12141,[],[],[],[],[],[],[],[],[],[],[]
12142,[],[],[],[],[],['wood'],[],[],[],[],[]
12143,[],[],"['spa', 'pool']",[],[],"['ceiling fan', 'dryer', 'dryer', 'carpet', 'washer', 'washer', 'dryer']",[],[],[],[],[]
12144,[],[],[],[],[],[],[],[],[],[],[]
12145,[],[],[],[],[],[],[],[],[],[],[]
12146,[],[],[],[],[],"['carpet', 'carpet']",[],[],[],[],[]
